Player,Season,Team,Pos,GP,G,A,P,PPG,Salary (USD),PPG100
Conor Garland,20232024,VAN,R,13,3,2,5,0.38,4950000,38.46153846
Corey Perry,20232024,EDM,R,19,1,2,3,0.16,1150000,15.78947368
Craig Smith,20232024,DAL,C,14,0,2,2,0.14,1000000,14.28571429
Dakota Joshua,20232024,VAN,C,13,4,4,8,0.62,3250000,61.53846154
Danton Heinen,20232024,BOS,L,8,0,1,1,0.13,2250000,12.5
Darnell Nurse,20232024,EDM,D,25,2,4,6,0.24,9250000,24
David Kampf,20232024,TOR,C,7,1,0,1,0.14,2400000,14.28571429
David Pastrnak,20232024,BOS,R,13,4,4,8,0.62,11425000,61.53846154
Derek Ryan,20232024,EDM,C,19,0,1,1,0.05,1250000,5.263157895
Devon Toews,20232024,COL,D,10,1,5,6,0.60,4100000,60
Dmitry Kulikov,20232024,FLA,D,24,0,2,2,0.08,1250000,8.333333333
Dmitry Orlov,20232024,CAR,D,11,2,4,6,0.55,7750000,54.54545455
Drew Doughty,20232024,LAK,D,5,2,1,3,0.60,11000000,60
Dylan DeMelo,20232024,WPG,D,5,0,1,1,0.20,3000000,20
Dylan Samberg,20232024,WPG,D,5,0,0,0,0.00,1250000,0
Dylan Strome,20232024,WSH,C,4,1,1,2,0.50,3500000,50
Eetu Luostarinen,20232024,FLA,C,24,2,6,8,0.33,1500000,33.33333333
Elias Lindholm,20232024,VAN,C,13,5,5,10,0.77,4850000,76.92307692
Elias Pettersson,20232024,VAN,C,13,1,5,6,0.46,7350000,46.15384615
Erik Cernak,20232024,TBL,D,5,0,1,1,0.20,5200000,20
Erik Gustafsson,20232024,NYR,D,16,0,3,3,0.19,2000000,18.75
Esa Lindell,20232024,DAL,D,19,3,2,5,0.26,5250000,26.31578947
Evan Bouchard,20232024,EDM,D,25,6,26,32,1.28,3900000,128
Evan Rodrigues,20232024,FLA,C,24,7,8,15,0.63,3000000,62.5
Evander Kane,20232024,EDM,L,20,4,4,8,0.40,5125000,40
Evgenii Dadonov,20232024,DAL,R,19,3,4,7,0.37,2250000,36.84210526
Evgeny Kuznetsov,20232024,CAR,C,10,4,2,6,0.60,7800000,60
Filip Forsberg,20232024,NSH,L,6,2,4,6,1.00,8500000,100
Filip Hronek,20232024,VAN,D,13,1,1,2,0.15,4400000,15.38461538
